 time            v(src)          v(A)            v(ZN)           v(load)         psupply        
 2.10560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833407e-08 
 2.12560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833408e-08 
 2.14560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833409e-08 
 2.16560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833407e-08 
 2.18560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833409e-08 
 2.20560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833407e-08 
 2.22560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833409e-08 
 2.24560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833406e-08 
 2.26560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833409e-08 
 2.28560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833408e-08 
 2.30560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833410e-08 
 2.32560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833409e-08 
 2.34560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833410e-08 
 2.36560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833410e-08 
 2.38560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833410e-08 
 2.40560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833410e-08 
 2.42560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833411e-08 
 2.44560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833410e-08 
 2.46560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833411e-08 
 2.48560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833411e-08 
 2.50560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833412e-08 
 2.52560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833410e-08 
 2.54560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833411e-08 
 2.56560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833411e-08 
 2.58560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833411e-08 
 2.60560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833411e-08 
 2.62560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833411e-08 
 2.64560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833411e-08 
 2.66560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833411e-08 
 2.68560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833412e-08 
 2.70560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833412e-08 
 2.72560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833411e-08 
 2.74560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833413e-08 
 2.76560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833412e-08 
 2.78560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833412e-08 
 2.80560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833412e-08 
 2.82560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833412e-08 
 2.84560000e-11  0.00000000e+00  1.81137272e-05  1.09997009e+00  1.09997009e+00  6.70833413e-08 
 2.86560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833413e-08 
 2.88560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833414e-08 
 2.90560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833412e-08 
 2.92560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833413e-08 
 2.94560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833414e-08 
 2.96560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833412e-08 
 2.98560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833413e-08 
 3.00560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833412e-08 
 3.02560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833413e-08 
 3.04560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833413e-08 
 3.06560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833414e-08 
 3.08560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833413e-08 
 3.10560000e-11  0.00000000e+00  1.81137273e-05  1.09997009e+00  1.09997009e+00  6.70833415e-08 
